,CO_IES,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_CURSO,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_OCDE,CO_ALUNO_CURSO,CO_ALUNO_CURSO_ORIGEM,Cor,Sexo,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,Idade,CO_NACIONALIDADE_ALUNO,CO_PAIS_ORIGEM_ALUNO,UF,CO_MUNICIPIO_NASCIMENTO,IN_ALUNO_DEF_TGD_SUPER,IN_DEF_AUDITIVA,IN_DEF_FISICA,IN_DEF_INTELECTUAL,IN_DEF_MULTIPLA,IN_DEF_SURDEZ,IN_DEF_SURDOCEGUEIRA,IN_DEF_BAIXA_VISAO,IN_DEF_CEGUEIRA,IN_DEF_SUPERDOTACAO,IN_TGD_AUTISMO_INFANTIL,IN_TGD_SINDROME_ASPERGER,IN_TGD_SINDROME_RETT,IN_TGD_TRANSTOR_DESINTEGRATIVO,Situacao,QT_CARGA_HORARIA_TOTAL,QT_CARGA_HORARIA_INTEG,IN_ING_VESTIBULAR,IN_ING_ENEM,IN_ING_AVALIACAO_SERIADA,IN_ING_SELECAO_SIMPLIFICADA,IN_ING_SELECAO_VAGA_REMANESC,IN_ING_SELECAO_VAGA_PROG_ESPEC,IN_ING_TRANSF_EXOFFICIO,IN_ING_DECISAO_JUDICIAL,IN_ING_CONVENIO_PECG,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_APOIO_SOCIAL,IN_APOIO_ALIMENTACAO,IN_APOIO_BOLSA_PERMANENCIA,IN_APOIO_BOLSA_TRABALHO,IN_APOIO_MATERIAL_DIDATICO,IN_APOIO_MORADIA,IN_APOIO_TRANSPORTE,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPL_ESTAGIO,IN_COMPL_EXTENSAO,IN_COMPL_MONITORIA,IN_COMPL_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,CO_TIPO_ESCOLA_ENS_MEDIO,IN_ALUNO_PARFOR,CO_SEMESTRE_CONCLUSAO,CO_SEMESTRE_REFERENCIA,IN_MOBILIDADE_ACADEMICA,CO_MOBILIDADE_ACADEMICA,CO_MOBILIDADE_ACADEMICA_INTERN,CO_IES_DESTINO,CO_PAIS_DESTINO,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,ANO_INGRESSO,ANO_RELATORIO
0,2,1,1,146,4,1,322B01,12643377,,Preta,feminino,1994,1,28,21,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,2700,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,,,,,,0,0,0,2009,2015
1,2,1,1,146,4,1,322B01,12690671,,Branca,feminino,1992,6,28,23,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,2490,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,1,,,,,,0,0,0,2009,2015
2,2,1,1,146,4,1,322B01,13781304,,Branca,nao declarado,1989,10,31,26,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,960,0,1,0,0,0,0,0,0,0.0,0,,,,,,1,1.0,1.0,0.0,0.0,0.0,0.0,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2012,2015
3,2,1,1,146,4,1,322B01,13212481,,Parda,nao declarado,1991,5,16,24,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1890,1,0,0,0,0,0,0,0,0.0,1,1.0,0.0,0.0,0.0,0.0,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2011,2015
4,2,1,1,146,4,1,322B01,12631836,,Parda,feminino,1989,9,4,26,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Desvinculado,2700,2280,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2008,2015
5,2,1,1,146,4,1,322B01,13781367,,Branca,nao declarado,1990,2,9,25,1,10,Paraná,4106902.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1410,0,1,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,0,2012,2015
6,2,1,1,146,4,1,322B01,14217961,,Branca,nao declarado,1987,5,3,28,1,10,,,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,630,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,0,2014,2015
7,2,1,1,146,4,1,322B01,14384840,,Nao quis declarar,feminino,1990,8,5,25,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,1830,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,0.0,,,,,1,0,1,2015,2015
8,2,1,1,146,4,1,322B01,12692675,,Branca,feminino,1990,5,31,25,1,10,Distrito Federal,5300108.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trancado,2700,2670,1,0,0,0,0,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,0,,,2,,,,,,0,0,0,2010,2015
9,2,1,1,146,4,1,322B01,15451873,,Branca,feminino,1989,12,3,26,1,10,Mato Grosso do Sul,5003306.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cursando,2700,240,0,0,0,0,1,0,0,0,0.0,0,,,,,,0,,,,,,,0,,,,,,,,,1,,,2,0.0,,,,,1,0,1,2015,2015
